"";"NIVEL";"COD";"LOCALIZACAO";"PROD_T";"PROD_T_01";"PROD_T_02";"PROD_T_03";"PROD_T_04";"PROD_T_05";"PROD_T_06";"PROD_T_07";"PROD_AF";"PROD_AF_01";"PROD_AF_02";"PROD_AF_03";"PROD_AF_04";"PROD_AF_05";"PROD_AF_06";"PROD_AF_07";"PROD_MP";"PROD_MP_01";"PROD_MP_02";"PROD_MP_03";"PROD_MP_04";"PROD_MP_05";"PROD_MP_06";"PROD_MP_07";"AREA_T";"AREA_AF";"AREA_MP";"O_NEST_LACO_T";"O_NEST_LACO_AF";"O_NEST_LACO_MP";"O_T";"O_AF";"O_MP";"O_LACO_T";"O_LACO_AF";"O_LACO_MP";"VP_T";"VP_T_AN";"VP_T_VG";"VP_AF";"VP_AF_AN";"VP_AF_VG";"VP_MP";"VP_MP_AN";"VP_MP_VG";"R_NEST_T_TOT";"R_NEST_T_1";"R_NEST_T_101";"R_NEST_T_102";"R_NEST_T_103";"R_NEST_T_2";"R_NEST_T_201";"R_NEST_T_202";"R_NEST_T_203";"R_NEST_T_204";"R_NEST_T_205";"R_NEST_T_3";"R_NEST_T_301";"R_NEST_T_302";"R_NEST_T_303";"R_NEST_T_304";"R_NEST_T_305";"R_NEST_T_306";"R_NEST_T_307";"R_NEST_AF_TOT";"R_NEST_AF_1";"R_NEST_AF_101";"R_NEST_AF_102";"R_NEST_AF_103";"R_NEST_AF_2";"R_NEST_AF_201";"R_NEST_AF_202";"R_NEST_AF_203";"R_NEST_AF_204";"R_NEST_AF_205";"R_NEST_AF_3";"R_NEST_AF_301";"R_NEST_AF_302";"R_NEST_AF_303";"R_NEST_AF_304";"R_NEST_AF_305";"R_NEST_AF_306";"R_NEST_AF_307";"R_NEST_MP_TOT";"R_NEST_MP_1";"R_NEST_MP_101";"R_NEST_MP_102";"R_NEST_MP_103";"R_NEST_MP_2";"R_NEST_MP_201";"R_NEST_MP_202";"R_NEST_MP_203";"R_NEST_MP_204";"R_NEST_MP_205";"R_NEST_MP_3";"R_NEST_MP_301";"R_NEST_MP_302";"R_NEST_MP_303";"R_NEST_MP_304";"R_NEST_MP_305";"R_NEST_MP_306";"R_NEST_MP_307";"R_VALOR_T_TOT";"R_VALOR_T_1";"R_VALOR_T_101";"R_VALOR_T_102";"R_VALOR_T_103";"R_VALOR_T_2";"R_VALOR_T_201";"R_VALOR_T_202";"R_VALOR_T_203";"R_VALOR_T_204";"R_VALOR_T_205";"R_VALOR_T_3";"R_VALOR_T_301";"R_VALOR_T_302";"R_VALOR_T_303";"R_VALOR_T_304";"R_VALOR_T_305";"R_VALOR_T_306";"R_VALOR_T_307";"R_VALOR_AF_TOT";"R_VALOR_AF_1";"R_VALOR_AF_101";"R_VALOR_AF_102";"R_VALOR_AF_103";"R_VALOR_AF_2";"R_VALOR_AF_201";"R_VALOR_AF_202";"R_VALOR_AF_203";"R_VALOR_AF_204";"R_VALOR_AF_205";"R_VALOR_AF_3";"R_VALOR_AF_301";"R_VALOR_AF_302";"R_VALOR_AF_303";"R_VALOR_AF_304";"R_VALOR_AF_305";"R_VALOR_AF_306";"R_VALOR_AF_307";"R_VALOR_MP_TOT";"R_VALOR_MP_1";"R_VALOR_MP_101";"R_VALOR_MP_102";"R_VALOR_MP_103";"R_VALOR_MP_2";"R_VALOR_MP_201";"R_VALOR_MP_202";"R_VALOR_MP_203";"R_VALOR_MP_204";"R_VALOR_MP_205";"R_VALOR_MP_3";"R_VALOR_MP_301";"R_VALOR_MP_302";"R_VALOR_MP_303";"R_VALOR_MP_304";"R_VALOR_MP_305";"R_VALOR_MP_306";"R_VALOR_MP_307";"COD_ESTADO";"COD_REGIAO"
"1";"MI";"11001";"Porto Velho (RO)";15943;15408;38;108;51;182;92;64;12670;12323;25;70;30;126;38;58;3286;3100;13;36;21;56;54;6;1925751;808336;987274;15920;12656;3277;51019;38399;12305;41444;33412;8112;956310;780625;175686;443964;373726;70238;296228;269728;26500;14880;13562;3874;11606;896;822;443;20;13;46;327;7855;4061;3144;7;4;54;34;1209;11751;11077;3211;9510;793;619;339;12;8;41;235;5597;3681;1151;7;4;46;32;1050;3141;2497;666;2109;104;206;106;8;5;5;93;2266;385;1996;0;0;8;2;161;1047995;866610;151249;687874;27487;26414;18781;857;717;76;5984;154971;70036;80967;NA;NA;1211;58;2629;517617;425182;49147;360870;15165;13898;10299;173;NA;NA;3206;78537;60291;14789;NA;NA;NA;NA;2303;390002;300811;21406;267062;12343;12861;8527;684;NA;NA;3078;76330;9853;65965;0;0;NA;NA;327;"11";"1"
"2";"MI";"11002";"Guajará-Mirim (RO)";4052;3696;125;79;28;57;5;62;3081;2816;100;53;15;40;3;54;971;880;24;26;13;18;2;8;545684;172731;342841;4051;3080;971;13341;9690;3577;10909;8661;2304;244383;218022;26361;105169;85402;19767;106011;103348;2662;3808;3435;1061;2804;306;429;258;4;1;48;127;2080;914;983;1;2;6;12;346;2869;2710;933;2186;266;318;196;2;0;40;88;1461;817;437;0;2;5;12;296;939;725;129;619;42;111;60;2;1;9;40;622;97;549;1;0;1;0;50;284204;238787;18813;214956;5019;7044;5121;NA;NA;120;1778;38373;14896;22454;NA;NA;140;27;836;125715;101075;13331;82972;4772;4038;2716;NA;0;NA;1195;20602;13181;6557;0;NA;NA;27;NA;125257;104247;1015;102726;506;3083;2239;NA;NA;NA;823;17926;1715;16054;NA;0;NA;0;NA;"11";"1"
"3";"MI";"11003";"Ariquemes (RO)";14475;12969;362;170;66;337;510;61;12022;10743;345;121;44;262;452;55;2443;2218;17;47;22;75;58;6;1401651;594506;717491;14463;12022;2433;39805;31498;7934;33937;28957;4962;711622;590301;121321;283369;236157;47212;260691;230571;30120;12944;11326;3566;9666;236;1433;371;4;16;15;1135;6455;4206;1978;4;2;22;9;572;10639;9509;3175;8054;207;1313;320;2;12;12;1068;4924;3764;766;3;2;18;8;517;2294;1805;387;1606;29;120;49;2;4;3;69;1532;444;1210;1;0;4;1;56;830567;688203;103436;578644;6123;24155;6078;NA;1353;NA;16527;118209;70441;45994;125;NA;468;16;1165;357555;267428;35011;226504;5913;16525;3666;NA;1093;NA;11647;73602;62101;9914;NA;NA;NA;NA;1068;306136;254243;25750;228282;210;8150;2127;NA;1000;NA;4944;43744;8420;35134;NA;0;NA;NA;99;"11";"1"
"4";"MI";"11004";"Ji-Paraná (RO)";20141;18563;85;312;182;788;176;35;16844;15627;69;229;140;634;120;25;3332;2967;16;86;42;155;56;10;1382643;760534;560530;20127;16843;3319;56276;44625;11609;47345;40331;7107;1036013;981133;54881;649618;605724;43894;332643;320980;11663;19475;18031;3592;16972;224;1063;508;8;4;58;513;10683;6943;3648;2;7;178;9;551;16240;15450;3104;14589;196;916;406;6;2;48;480;8213;6278;1643;2;5;141;9;505;3270;2616;492;2416;29;153;106;2;2;10;35;2485;670;2014;0;2;37;0;46;1299056;1014340;38197;963624;12519;32078;17709;47;373;225;13724;252638;128213;107956;NA;NA;3025;26;13228;811172;633636;30360;591906;11370;22771;11812;NA;NA;113;10797;154765;114215;24913;NA;NA;NA;26;13124;421877;326010;7547;317213;1250;10637;6087;NA;NA;112;4067;85230;14095;70303;0;NA;NA;0;104;"11";"1"
"5";"MI";"11005";"Alvorada D'Oeste (RO)";8999;8222;69;75;103;510;16;4;7716;7093;57;56;79;417;11;3;1281;1129;12;17;24;93;5;1;612809;254670;305732;8995;7716;1278;25981;20945;4837;20381;17677;2715;461001;310786;150215;223788;152939;70849;128851;99704;29147;8391;7657;3657;5775;95;564;184;3;1;24;359;4528;2821;1429;0;2;10;1;567;7144;6707;3364;5015;81;439;134;3;1;22;284;3601;2647;609;0;2;7;1;498;1245;948;288;763;14;124;49;0;0;2;75;925;173;818;0;0;3;0;69;528175;430512;122767;304894;2851;9358;5131;NA;NA;44;4141;88305;49808;37093;0;NA;220;NA;1130;275767;214323;63952;147577;2794;6143;NA;NA;NA;NA;2688;55302;46584;7548;0;NA;144;NA;972;156517;126841;27597;99187;57;2935;NA;0;0;NA;1423;26741;3182;23325;0;0;76;0;158;"11";"1"
"6";"MI";"11006";"Cacoal (RO)";16861;14821;131;239;287;853;498;32;13693;12183;114;153;240;686;297;20;3187;2657;17;85;47;169;200;12;1377103;516720;779457;16836;13691;3165;50101;37802;12039;37071;30592;6545;930753;716655;214097;465931;338575;127355;348697;312819;35878;15797;14488;5965;11526;277;702;299;7;8;114;299;9084;5579;3415;0;7;52;16;586;12761;11968;5307;9351;237;580;231;5;5;101;259;6887;5026;1607;0;5;46;16;516;3054;2538;662;2189;40;121;65;2;3;13;42;2212;561;1815;0;2;6;0;71;1182127;892213;170427;704407;17378;100863;8693;NA;NA;212;91882;189051;102511;83912;0;48;1193;5;1382;643237;437859;104124;327933;5802;96100;6000;NA;NA;195;89844;109279;85155;21752;0;NA;NA;5;1262;419468;339881;27021;309948;2912;4991;2580;NA;NA;17;2378;74596;17517;56813;0;NA;NA;0;130;"11";"1"
"7";"MI";"11007";"Vilhena (RO)";5706;5015;461;74;27;69;14;46;4216;3693;349;44;23;51;11;45;1430;1268;113;22;5;18;3;1;1114157;172610;689675;5694;4216;1424;16929;10843;4794;12549;9428;2960;1019772;687512;332260;110835;91161;19674;149630;130556;19073;4896;4001;774;3586;112;123;84;0;3;12;25;2970;1738;1230;2;4;3;0;118;3534;3023;614;2703;92;85;56;0;3;10;17;1994;1552;379;2;3;2;0;98;1302;918;134;839;20;37;27;0;0;2;8;970;182;848;0;1;1;0;20;1029510;950967;266356;682307;2304;8314;7002;0;NA;NA;1115;70228;32515;36960;NA;5;NA;0;661;143484;106639;17361;87226;2052;2265;1931;0;NA;NA;NA;34580;27636;6272;NA;NA;NA;0;NA;185391;147559;17931;129377;251;3829;3031;0;0;NA;NA;34002;4773;29146;0;NA;NA;0;NA;"11";"1"
"8";"MI";"11008";"Colorado do Oeste (RO)";5261;4821;11;213;31;155;28;2;4087;3806;8;115;19;117;20;2;1126;975;3;89;11;40;8;0;860084;200138;382621;5251;4087;1116;17360;11683;4334;12121;9501;2476;1185106;655903;529203;200597;169068;31529;191810;108884;82926;4976;4595;761;4214;98;237;153;2;2;24;60;2867;1637;1313;2;2;29;5;88;3839;3659;527;3434;79;181;114;2;0;20;48;2077;1468;621;1;1;27;4;74;1089;888;185;764;20;54;37;0;2;4;12;793;164;700;1;1;2;1;15;1257303;1142839;493824;646657;2358;7312;5411;NA;NA;38;1751;107151;31055;75377;NA;NA;370;33;273;234737;190717;27599;161479;1639;4519;3541;NA;0;NA;963;39501;27262;11586;NA;NA;NA;NA;247;222119;186291;77831;107501;960;2718;1795;0;NA;NA;788;33109;3352;29688;NA;NA;NA;NA;29;"11";"1"
"9";"MI";"12001";"Cruzeiro do Sul (AC)";8437;4559;2005;12;33;253;1407;168;7522;3933;1878;11;28;233;1283;156;919;630;127;1;5;20;124;12;286520;180243;106975;8336;7434;906;25197;22404;2827;22648;20534;2125;161560;39781;121779;139637;22828;116809;24923;18133;6790;8278;7602;2837;3549;6008;588;124;2;1;122;372;6662;1597;1595;5;1;1;171;4311;7372;6862;2587;3074;5622;525;105;1;1;105;345;5857;1513;856;5;1;1;165;4121;910;744;252;478;388;64;20;1;0;17;27;808;84;742;0;0;0;6;190;152131;90830;14671;36129;40029;2507;717;NA;NA;206;1563;58795;23116;18505;NA;NA;NA;197;16933;117061;71063;12980;19960;38124;1861;424;NA;NA;NA;1248;44137;21452;6136;NA;NA;NA;190;16316;38696;23257;3435;17348;2475;726;NA;NA;0;NA;315;14713;1664;12425;0;0;0;7;617;"12";"1"
"10";"MI";"12002";"Tarauacá (AC)";6356;4915;1009;9;11;93;272;47;5591;4321;888;6;10;86;240;40;769;598;121;3;1;7;32;7;744663;456424;288836;6346;5587;763;24237;20893;3395;20974;18803;2180;126490;57484;69005;98342;33271;65071;30035;25802;4233;6009;4516;2304;2945;1704;824;329;1;3;250;261;5155;1398;1708;4;1;1;44;3121;5248;3976;2118;2511;1604;696;284;1;3;213;213;4477;1311;1126;4;1;0;44;2904;765;544;187;438;100;128;45;0;0;37;48;682;87;586;0;0;1;0;217;121542;64519;11582;43620;9317;2925;1030;NA;NA;517;1376;54098;17899;21831;NA;NA;NA;95;14247;81547;41710;10654;22613;8443;2377;776;NA;NA;474;1125;37460;NA;7400;NA;NA;0;95;13392;42097;24673;1207;22592;874;548;254;0;0;43;251;16875;NA;14669;0;0;NA;0;855;"12";"1"
